Source,Target,Group
175,188,1A
175,188,1A
318,57,2
166,44,1A
190,166,1A
166,190,1A
258,284,2
284,258,2
284,258,2
284,258,2
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
220,168,1A
316,292,2
292,302,2
292,302,2
316,302,2
292,316,2
292,302,2
316,292,2
292,302,2
292,316,2
166,44,1A
166,44,1A
166,44,1A
166,44,1A
3,283,1D
44,166,1A
106,193,1A
219,95,1C
175,188,1A
175,188,1A
190,166,1A
166,190,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
4,280,1A
9,177,2
17,245,1D
243,213,2
243,213,2
213,243,2
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
246,63,1B
246,63,1B
246,63,1B
246,63,1B
246,63,1B
246,63,1B
246,63,1B
246,63,1B
246,63,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
63,246,1B
246,63,1B
246,63,1B
307,84,2
53,63,1B
156,63,1B
196,271,1B
40,87,2
40,79,2
87,40,2
87,40,2
87,40,2
183,214,1B
183,214,1B
183,214,1B
183,214,1B
183,214,1B
183,214,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
136,169,1B
27,147,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
27,147,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
147,27,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
147,27,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
27,147,1B
147,27,1B
147,27,1B
136,169,1B
136,169,1B
136,169,1B
158,262,2
158,146,2
40,87,2
40,79,2
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
214,183,1B
308,138,2
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
179,315,1B
