Author_ID,Group
0,2
1,1D
2,2
3,1D
4,2
5,1C
6,2
7,2
8,1D
9,2
10,1D
11,2
12,2
13,2
14,2
15,2
16,2
17,1D
18,2
19,1C
20,1C
21,1D
22,1C
23,1C
24,2
25,2
26,2
27,2
28,2
29,1A
30,1C
31,2
32,2
33,1A
34,2
35,2
36,1C
37,1B
38,2
39,2
40,2
41,2
42,1D
43,2
44,2
45,1D
46,2
47,2
48,1D
49,2
50,1C
51,2
52,1C
53,1B
54,2
55,1D
56,2
57,2
58,1A
59,2
60,2
61,2
62,1B
63,1B
64,2
65,2
66,2
67,2
68,1D
69,2
70,1D
71,2
72,1C
73,1A
74,2
75,1C
76,2
77,2
78,2
79,2
80,2
81,2
82,1C
83,2
84,2
85,1C
86,2
87,2
88,1B
89,1C
90,2
91,1C
92,2
93,1C
94,2
95,1C
96,2
97,2
98,2
99,1D
100,1B
101,2
102,2
103,2
104,2
105,1C
106,1C
107,1D
108,2
109,1C
110,2
111,1D
112,2
113,2
114,1A
115,2
116,2
117,1B
118,2
119,2
120,2
121,1C
122,1D
123,1D
124,1D
125,2
126,2
127,2
128,1C
129,2
130,1C
131,2
132,1C
133,2
134,2
135,1D
136,2
137,2
138,2
139,1D
140,2
141,1D
142,2
143,2
144,2
145,2
146,2
147,1B
148,2
149,2
150,2
151,2
152,1D
153,1C
154,1C
155,2
156,1B
157,1D
158,2
159,1D
160,2
161,2
162,2
163,1C
164,2
165,2
166,1A
167,2
168,1A
169,1B
170,2
171,1D
172,1A
173,2
174,2
175,1A
176,2
177,2
178,2
179,1B
180,2
181,1D
182,2
183,1B
184,1C
185,1C
186,2
187,1D
188,1A
189,1C
190,1A
191,1C
192,1D
193,1D
194,1C
195,2
196,2
197,2
198,1D
199,2
200,1A
201,2
202,1C
203,2
204,2
205,2
206,1B
207,2
208,1C
209,1D
210,2
211,1D
212,2
213,2
214,1B
215,2
216,2
217,1C
218,2
219,2
220,1A
221,2
222,2
223,2
224,1D
225,1A
226,2
227,2
228,2
229,2
230,1A
231,1C
232,2
233,2
234,2
235,1D
236,2
237,1D
238,2
239,2
240,2
241,2
242,1C
243,2
244,1D
245,1D
246,1B
247,1D
248,1D
249,2
250,2
251,1D
252,2
253,2
254,2
255,1D
256,1C
257,1C
258,2
259,2
260,2
261,2
262,2
263,1D
264,2
265,1D
266,1C
267,2
268,2
269,2
270,1C
271,1A
272,2
273,2
274,2
275,1A
276,1D
277,2
278,1D
279,2
280,2
281,2
282,2
283,1D
284,2
285,2
286,2
287,1A
288,2
289,2
290,1D
291,1D
292,2
293,2
294,1C
295,2
296,2
297,2
298,1C
299,2
300,2
301,1C
302,1A
303,1A
304,2
305,2
306,1B
307,2
308,2
309,1C
310,1C
311,1D
312,2
313,1B
314,2
315,1B
316,2
317,2
318,2
319,2
320,1D
321,1B
322,1D
