Author_ID,Group
130,1C
138,2
277,2
73,1A
241,2
141,1D
54,2
150,2
318,2
90,2
265,1D
53,1B
211,1D
290,1D
101,2
94,2
302,1A
207,2
42,1D
267,2
156,1B
17,1D
85,1C
220,1A
222,2
26,2
84,2
65,2
46,2
262,2
179,1B
52,1C
63,1B
205,2
161,2
256,1C
119,2
307,2
4,2
166,1A
38,2
271,1A
229,2
201,2
317,2
168,1A
197,2
219,2
41,2
55,1D
105,1C
213,2
6,2
14,2
9,2
259,2
193,1D
87,2
216,2
288,2
188,1A
115,2
258,2
210,2
289,2
146,2
303,1A
260,2
140,2
48,1D
308,2
286,2
116,2
56,2
297,2
165,2
245,1D
145,2
13,2
215,2
195,2
96,2
74,2
240,2
221,2
170,2
268,2
32,2
78,2
190,1A
283,1D
75,1C
252,2
137,2
79,2
316,2
99,1D
59,2
164,2
247,1D
93,1C
47,2
162,2
177,2
243,2
309,1C
121,1C
234,2
226,2
169,1B
2,2
106,1C
82,1C
155,2
40,2
50,1C
12,2
68,1D
196,2
144,2
81,2
57,2
160,2
292,2
19,1C
203,2
278,1D
45,1D
44,2
208,1C
67,2
312,2
23,1C
319,2
27,2
246,1B
298,1C
232,2
158,2
291,1D
60,2
217,1C
95,1C
35,2
33,1A
284,2
183,1B
315,1B
66,2
102,2
133,2
228,2
147,1B
21,1D
25,2
122,1D
238,2
280,2
134,2
3,1D
299,2
112,2
310,1C
136,2
175,1A
89,1C
70,1D
264,2
149,2
212,2
7,2
214,1B
261,2
148,2
